sku,N,chord_skip,n_exit,k_spots,opl_m,envelope_mm,R_ring_mm,lambda_nm,z_extent_mm,h_beam_mm,v_full_ml,v_min_ml,pvr_full_m_per_l,pvr_min_m_per_l,n_spot_pairs,min_pair_d_mm,worst_pair_d_mm,worst_pair_d_over_w,overlap_amp_max,overlap_power_max,pairs_power_gt_1e4,spot_fill_frac,n_chord_crossings,min_cross_angle_deg,fringe_period_um,washout_fringes_across_beam,side_gap_mm,side_slot_max_passes,side_slot_opl_m,hole_gain_factor
CM254-750-M01,12,5,204,17,28.99385350390421,183.1404889696756,73.57024448483779,1654.0,14.758838191953156,19.45486487344104,520.3262038655888,330.81294072926687,55.72245504551589,87.64425430271307,1632,1.238367904197293,1.238367904197293,2.7880240904856004,0.020516926565673447,0.0004209442757012368,2,0.0258967281236473,15259,0.24148678459570533,392.43261123785373,2.270386333167732,12.682760851049416,12,1.7055215806633375,16.99999216229646
CM254-200-M01,16,7,176,11,25.72268036663216,185.0149493391566,74.5074746695783,1654.0,14.191449202951137,18.236552204807353,533.6677844182166,318.04772583551255,48.19979979618594,80.87679388072524,880,1.7410115834595041,1.7410115834595041,5.438937471748044,3.929979837462356e-07,1.5444741522860644e-13,0,0.008840839902267462,12508,1.2239391815241125,77.4295182557179,8.41131289080569,3.671374451793099,16,2.338426701950046,10.999994288972866
CM254-200-M01,16,7,176,11,24.774440244436025,179.52159848102542,71.76079924051271,1654.0,16.360486311698825,20.447137681986554,495.0463163519604,330.7934702421179,50.044691630070176,74.89398211610057,880,1.2439236196619075,1.2439236196619075,3.8382897407515633,0.0006324553339825442,3.999997494829715e-07,0,0.009412795284991303,12493,0.5559676851367455,170.4552146496437,3.9391111002670347,2.5996748639327123,16,2.252221939362118,10.999999516678507
CM254-200-M01,16,7,176,11,23.826005275797712,174.0271750807899,69.01358754039495,2121.8,11.580909267316372,16.48555316386766,457.8682266589679,246.67356185072626,52.03681733859191,96.58921327862427,880,1.5715982368851382,1.5715982368851382,4.410896953396375,9.447980471585674e-05,8.926433499146425e-09,0,0.01483851496369456,12562,1.5999387188541156,75.9867446469643,11.586970085878331,1.527766033487815,16,2.166000345838053,11.000000679399307
CM254-500-M01,12,5,204,17,20.66237996156646,140.85926816942373,52.42963408471186,1654.0,18.391902125154452,23.130337742226068,264.2560582528989,199.74940777186012,78.19075217489282,103.44150799768876,1632,1.4663297091703973,1.466331155456215,3.3148197233810466,0.004115307437630582,1.6935755306217588e-05,0,0.022016170360738607,15332,0.4962436723780511,190.9697207132369,4.428949355907831,1.7395756577593957,12,1.2154353030074112,16.999983389029858
CM254-150-M01,16,7,144,9,20.38015540178735,180.3015598172956,72.1507799086478,1654.0,12.117217873945936,17.75810583974956,500.4415482579867,290.42137191416555,40.7243472743814,70.17443402137337,576,1.506741996643623,1.5394611213916938,3.547156373401028,0.002398533331699802,5.752962143274953e-06,0,0.01649052138704468,8341,0.6174982465566209,153.47035960972087,6.689522450942392,2.7518377721857945,16,2.264461532928477,9.000000708968129
CM254-150-M01,13,5,143,11,16.60249771134903,160.17054260057398,62.08527130028699,1654.0,14.582688685151883,19.038136509507222,370.55140616104336,230.54275340796735,44.80484336398256,72.01483224228406,715,1.1777046620048275,1.2667955614944675,3.5413116968796428,0.001993674811232801,3.974739252944144e-06,0,0.01045120153462134,6987,1.1883798350692387,79.74631950297167,9.10017371872398,4.3159558874028505,13,1.509319164529773,10.999991321597989
CM254-150-M01,13,5,143,11,16.6011326890267,160.16021128177667,62.080105640888334,2121.8,17.190233197749613,22.062537567924437,370.4897470047581,267.12235169357183,44.80861568569533,62.148047828175045,715,1.3224416740005178,1.3224416740005178,3.441422085791211,0.003041005397721092,9.247713828968818e-06,0,0.013805833866107531,6994,1.2822926421981482,94.80887447196531,8.861674648172249,4.313483440981905,13,1.509193585168283,11.000002154909495
CM254-100-M01,16,7,112,7,15.297950962488704,175.26478304239183,69.63239152119593,1654.0,5.444005750530597,9.321571623891021,466.11590427493815,141.99126754031266,32.82005789157801,107.73867455014775,336,1.7141673933249415,1.7141673933249415,5.792691072478989,5.298318958526578e-08,2.8072183786282164e-15,0,0.004550409207176156,5019,0.7460970211231803,127.01818422959715,4.672902300982238,1.7692113692464666,16,2.1854215885844375,6.999999927884689
CM254-150-M01,10,3,190,19,14.85313827497906,132.62880689021637,48.31440344510818,1654.0,12.14288485317633,16.00080502095612,224.40087303669748,117.33969333308907,66.19019825537865,126.58238532135796,1710,0.932574520338307,0.9325788437827376,3.383335270350414,0.003273595406796228,1.0716426887397361e-05,0,0.01100676166420805,8931,0.9988872108094222,94.87399422777705,5.781451599704044,4.459943475251865,10,0.7817434692036006,19.00001581095479
