design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D150_14cm_flight,mirror_0,52.4296,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,1000.0,11.4,1.3
D150_14cm_flight,mirror_1,45.40536551025661,26.214799999999997,0.0,-0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_2,26.214800000000007,45.4053655102566,0.0,-0.5000000000000001,-0.8660254037844386,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_3,3.2103870910288034e-15,52.4296,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_4,-26.21479999999999,45.40536551025661,0.0,0.49999999999999983,-0.8660254037844388,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_5,-45.40536551025661,26.214799999999997,0.0,0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_6,-52.4296,6.420774182057607e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_7,-45.405365510256615,-26.214799999999986,0.0,0.8660254037844388,0.4999999999999997,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_8,-26.214800000000025,-45.405365510256594,0.0,0.5000000000000004,0.8660254037844385,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_9,-9.63116127308641e-15,-52.4296,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_10,26.214800000000007,-45.4053655102566,0.0,-0.5000000000000001,0.8660254037844386,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_11,45.405365510256594,-26.214800000000025,0.0,-0.8660254037844384,0.5000000000000004,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,launch_ray,-22.97477936532794,-22.121768681725964,-2.607670693248271,0.9588016357849756,0.2812885428806878,0.0397011191292485,0.2913,0.001654,204.0,20.662379961566458,,1.3
