design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D160_27m,mirror_0,60.6585,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,150.0,11.4,1.3
D160_27m,mirror_1,52.53180195545837,30.329249999999995,0.0,-0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_2,30.329250000000005,52.53180195545836,0.0,-0.5000000000000001,-0.8660254037844386,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_3,3.714261893303986e-15,60.6585,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_4,-30.329249999999984,52.53180195545837,0.0,0.49999999999999983,-0.8660254037844388,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_5,-52.53180195545837,30.329249999999995,0.0,0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_6,-60.6585,7.428523786607973e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_7,-52.53180195545838,-30.32924999999998,0.0,0.8660254037844388,0.4999999999999997,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_8,-30.329250000000027,-52.531801955458356,0.0,0.5000000000000004,0.8660254037844385,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_9,-1.1142785679911957e-14,-60.6585,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_10,30.329250000000005,-52.53180195545836,0.0,-0.5000000000000001,0.8660254037844386,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_11,52.53180195545835,-30.329250000000027,0.0,-0.8660254037844384,0.5000000000000004,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,launch_ray,-25.67520764274247,-28.067874811453926,-6.13842894378213,0.9488497917878228,0.3084797108561749,0.06726321888146625,0.2,0.001654,228.0,26.71776568343663,,1.3
