design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D180_24m_H2,mirror_0,69.0136,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,400.0,11.4,1.3
D180_24m_H2,mirror_1,63.760252504920935,26.41036132787136,0.0,-0.9238795325112867,-0.3826834323650898,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_2,48.799984554095914,48.799984554095914,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_3,26.410361327871364,63.760252504920935,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_4,4.225864216881789e-15,69.0136,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_5,-26.410361327871357,63.760252504920935,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_6,-48.79998455409591,48.799984554095914,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_7,-63.760252504920935,26.410361327871367,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_8,-69.0136,8.451728433763577e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_9,-63.76025250492094,-26.41036132787135,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_10,-48.79998455409592,-48.79998455409591,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_11,-26.410361327871396,-63.76025250492092,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_12,-1.2677592650645364e-14,-69.0136,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_13,26.410361327871374,-63.76025250492093,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_14,48.7999845540959,-48.79998455409592,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_15,63.76025250492092,-26.4103613278714,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,launch_ray,-31.380076309970974,-25.034252470873746,-3.331343392295686,0.969796062514934,0.24182917058737938,0.03184728220037487,0.4215,0.0021218,176.0,23.826005275797712,,1.3
