design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D190_26m_trigas,mirror_0,74.5075,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,400.0,11.4,1.3
D190_26m_trigas,mirror_1,68.83595426858469,28.512785836941923,0.0,-0.9238795325112867,-0.3826834323650898,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_2,52.68475849925669,52.68475849925669,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_3,28.51278583694193,68.83595426858469,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_4,4.5622685693735704e-15,74.5075,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_5,-28.51278583694192,68.83595426858469,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_6,-52.68475849925668,52.68475849925669,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_7,-68.83595426858469,28.512785836941934,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_8,-74.5075,9.124537138747141e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_9,-68.8359542685847,-28.512785836941916,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_10,-52.684758499256695,-52.68475849925668,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_11,-28.512785836941966,-68.83595426858467,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_12,-1.3686805708120711e-14,-74.5075,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_13,28.51278583694194,-68.83595426858469,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_14,52.684758499256674,-52.684758499256695,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_15,68.83595426858467,-28.51278583694197,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,launch_ray,-35.76067650389059,-17.69858205803342,-3.9355262048364175,0.9866405082610529,0.15836063088085917,0.03824157482881068,0.2946,0.001654,176.0,25.722680366632158,,1.3
