design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D190_26m_trigas,mirror_0,74.5075,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,400.0,11.4,1.3
D190_26m_trigas,mirror_1,68.83595426858469,28.512785836941923,0.0,-0.9238795325112867,-0.3826834323650898,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_2,52.68475849925669,52.68475849925669,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_3,28.51278583694193,68.83595426858469,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_4,4.5622685693735704e-15,74.5075,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_5,-28.51278583694192,68.83595426858469,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_6,-52.68475849925668,52.68475849925669,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_7,-68.83595426858469,28.512785836941934,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_8,-74.5075,9.124537138747141e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_9,-68.8359542685847,-28.512785836941916,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_10,-52.684758499256695,-52.68475849925668,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_11,-28.512785836941966,-68.83595426858467,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_12,-1.3686805708120711e-14,-74.5075,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_13,28.51278583694194,-68.83595426858469,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_14,52.684758499256674,-52.684758499256695,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,mirror_15,68.83595426858467,-28.51278583694197,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D190_26m_trigas,launch_ray,-35.76067650389059,-17.69858205803342,-3.9355262048364175,0.9866405082610529,0.15836063088085917,0.03824157482881068,0.2946,0.001654,176.0,25.722680366632158,,1.3
D160_27m,mirror_0,60.6585,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,150.0,11.4,1.3
D160_27m,mirror_1,52.53180195545837,30.329249999999995,0.0,-0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_2,30.329250000000005,52.53180195545836,0.0,-0.5000000000000001,-0.8660254037844386,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_3,3.714261893303986e-15,60.6585,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_4,-30.329249999999984,52.53180195545837,0.0,0.49999999999999983,-0.8660254037844388,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_5,-52.53180195545837,30.329249999999995,0.0,0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_6,-60.6585,7.428523786607973e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_7,-52.53180195545838,-30.32924999999998,0.0,0.8660254037844388,0.4999999999999997,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_8,-30.329250000000027,-52.531801955458356,0.0,0.5000000000000004,0.8660254037844385,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_9,-1.1142785679911957e-14,-60.6585,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_10,30.329250000000005,-52.53180195545836,0.0,-0.5000000000000001,0.8660254037844386,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,mirror_11,52.53180195545835,-30.329250000000027,0.0,-0.8660254037844384,0.5000000000000004,-0.0,0.0,0.0,1.0,150.0,11.4,0.0
D160_27m,launch_ray,-25.67520764274247,-28.067874811453926,-6.13842894378213,0.9488497917878228,0.3084797108561749,0.06726321888146625,0.2,0.001654,228.0,26.71776568343663,,1.3
D180_24m_H2,mirror_0,69.0136,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,400.0,11.4,1.3
D180_24m_H2,mirror_1,63.760252504920935,26.41036132787136,0.0,-0.9238795325112867,-0.3826834323650898,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_2,48.799984554095914,48.799984554095914,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_3,26.410361327871364,63.760252504920935,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_4,4.225864216881789e-15,69.0136,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_5,-26.410361327871357,63.760252504920935,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_6,-48.79998455409591,48.799984554095914,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_7,-63.760252504920935,26.410361327871367,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_8,-69.0136,8.451728433763577e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_9,-63.76025250492094,-26.41036132787135,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_10,-48.79998455409592,-48.79998455409591,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_11,-26.410361327871396,-63.76025250492092,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_12,-1.2677592650645364e-14,-69.0136,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_13,26.410361327871374,-63.76025250492093,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_14,48.7999845540959,-48.79998455409592,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_15,63.76025250492092,-26.4103613278714,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,launch_ray,-31.380076309970974,-25.034252470873746,-3.331343392295686,0.969796062514934,0.24182917058737938,0.03184728220037487,0.4215,0.0021218,176.0,23.826005275797712,,1.3
D180_15m_sparse,mirror_0,69.6324,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,200.0,11.4,1.3
D180_15m_sparse,mirror_1,64.33194915963892,26.64716583581888,0.0,-0.9238795325112867,-0.3826834323650898,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_2,49.23754223029416,49.23754223029416,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_3,26.647165835818882,64.33194915963892,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_4,4.263754788847408e-15,69.6324,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_5,-26.647165835818875,64.33194915963892,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_6,-49.23754223029415,49.23754223029416,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_7,-64.33194915963892,26.647165835818885,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_8,-69.6324,8.527509577694816e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_9,-64.33194915963894,-26.64716583581887,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_10,-49.23754223029417,-49.23754223029415,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_11,-26.647165835818917,-64.33194915963891,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_12,-1.2791264366542223e-14,-69.6324,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_13,26.647165835818896,-64.33194915963892,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_14,49.237542230294146,-49.23754223029417,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_15,64.33194915963891,-26.64716583581892,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,launch_ray,-33.334494175294424,-17.423388942659205,-1.9730922188487674,0.9858140192907748,0.16681304433624963,0.018550676781199243,0.2,0.001654,112.0,15.297950962488704,,1.3
D130_9m_halfinch,mirror_0,51.5993,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,100.0,5.7,0.8
D130_9m_halfinch,mirror_1,46.48936290555729,22.388097219848618,0.0,-0.9009688679024191,-0.4338837391175581,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_2,32.171637333049354,40.34195721331261,0.0,-0.6234898018587336,-0.7818314824680298,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_3,11.481924427492055,50.30559781904357,0.0,-0.22252093395631445,-0.9749279121818236,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_4,-11.48192442749205,50.30559781904357,0.0,0.22252093395631434,-0.9749279121818236,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_5,-32.17163733304935,40.34195721331262,0.0,0.6234898018587335,-0.7818314824680299,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_6,-46.48936290555729,22.38809721984862,0.0,0.9009688679024191,-0.4338837391175583,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_7,-51.5993,6.319091758324402e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_8,-46.48936290555729,-22.38809721984861,0.0,0.9009688679024191,0.433883739117558,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_9,-32.17163733304936,-40.341957213312604,0.0,0.6234898018587337,0.7818314824680297,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_10,-11.481924427492062,-50.30559781904357,0.0,0.2225209339563146,0.9749279121818236,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_11,11.481924427491998,-50.305597819043584,0.0,-0.22252093395631334,0.9749279121818238,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_12,32.17163733304934,-40.34195721331262,0.0,-0.6234898018587334,0.7818314824680299,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_13,46.48936290555731,-22.388097219848586,0.0,-0.9009688679024194,0.4338837391175575,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,launch_ray,-16.562061288381045,-36.643238170896815,1.0711183108814741,0.8806496895420551,0.4734332722975804,0.017806206532756916,0.2,0.001654,98.0,9.111922026576464,,0.8
D190_19m_2inch,mirror_0,67.7936,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,300.0,22.9,1.3
D190_19m_2inch,mirror_1,47.93731428104833,47.93731428104833,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,300.0,22.9,0.0
D190_19m_2inch,mirror_2,4.1511607621338e-15,67.7936,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,300.0,22.9,0.0
D190_19m_2inch,mirror_3,-47.93731428104832,47.93731428104833,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,300.0,22.9,0.0
D190_19m_2inch,mirror_4,-67.7936,8.3023215242676e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,300.0,22.9,0.0
