run_id,environment,design,perturbation,pass_count,path_m,edge_clear_mm,hole_clear_mm,exit_clear_mm,result
D190_26m_trigas-NOM,nominal,D190_26m_trigas,none,176,25.981825735746,1.1299824700387517,0.8628907116739793,0.9693383512737581,PASS
D190_26m_trigas-al_flexure-Mdtan+,drone/al_flexure,D190_26m_trigas,all mirrors dtan=+1max,176,25.98186544016732,1.0264481566785582,0.8295626134664531,0.9126151012629613,PASS
D190_26m_trigas-al_flexure-Mdtan-,drone/al_flexure,D190_26m_trigas,all mirrors dtan=-1max,176,25.981783369885356,1.204907783298082,0.7729069860128954,0.9143421667084006,PASS
D190_26m_trigas-al_flexure-Mdsag+,drone/al_flexure,D190_26m_trigas,all mirrors dsag=+1max,176,25.981828634477093,0.917573847685029,0.9325460178283207,0.9020171514854274,PASS
D190_26m_trigas-al_flexure-Mdsag-,drone/al_flexure,D190_26m_trigas,all mirrors dsag=-1max,176,25.981822934075627,1.337641421734454,0.797222268407803,0.9011143685198446,PASS
D190_26m_trigas-al_flexure-Mdax+,drone/al_flexure,D190_26m_trigas,all mirrors dax=+1max,176,25.95396798025651,1.1360809340411495,0.8341957090526484,0.0950923104000887,PASS
D190_26m_trigas-al_flexure-Mdax-,drone/al_flexure,D190_26m_trigas,all mirrors dax=-1max,176,26.00967002059619,1.0826081065853344,0.81857292143442,0.08479130300595461,PASS
D190_26m_trigas-al_flexure-Mtiltt+,drone/al_flexure,D190_26m_trigas,all mirrors tiltt=+1max,176,25.98182575602266,1.185338124251366,0.7953786713332718,0.847684651198648,PASS
D190_26m_trigas-al_flexure-Mtiltt-,drone/al_flexure,D190_26m_trigas,all mirrors tiltt=-1max,176,25.981828846292267,1.064555104162568,0.8707083004020948,0.8481292119882797,PASS
D190_26m_trigas-al_flexure-Mtilts+,drone/al_flexure,D190_26m_trigas,all mirrors tilts=+1max,176,25.981834549728145,1.0990556425896498,0.8480907275437763,0.9675890568423362,PASS
D190_26m_trigas-al_flexure-Mtilts-,drone/al_flexure,D190_26m_trigas,all mirrors tilts=-1max,176,25.98181620516582,1.139112998043371,0.8333851814903734,0.9679113353516458,PASS
D190_26m_trigas-al_flexure-Lofft+,drone/al_flexure,D190_26m_trigas,launch input_offset_t=+1max,176,25.98184060417035,1.1470200619428892,0.8027848489889382,0.9007322007589731,PASS
