N,s,roc_a,roc_b,k,n_exit,r_ring,exit_miss,sep_margin,hole_clear,envelope_mm,opl_m,throughput,sku_a,sku_b,feasible
12,5,500.0,750.0,21,252,72.16361282753115,0.500000003519196,-0.6118749772961574,0.9017201971393325,180.3272256550623,35.09922093543772,0.7779246707428729,CM254-250-M01,CM254-375-M01,False
12,5,500.0,750.0,19,228,75.96914755591507,0.5000071573577869,-0.730003576693894,0.3016623275090029,187.93829511183014,33.427430822509535,0.7968302765754722,CM254-250-M01,CM254-375-M01,False
12,5,500.0,750.0,23,276,60.678305140640305,0.1393715511964422,-0.5971791587786088,0.30000515645626713,157.3566102812806,32.32652494612516,0.7594676195679024,CM254-250-M01,CM254-375-M01,False
12,5,150.0,200.0,23,276,68.92616809969375,0.00012391612724787544,-0.26826416190871505,1.0794076719880463,173.8523361993875,36.721860864487326,0.7594676195679024,CM254-075-M01,CM254-100-M01,False
12,5,150.0,200.0,21,252,66.26501553558728,0.500002954787098,-1.2593580146028458,-0.8980060360985045,168.53003107117456,32.23194957088086,0.7779246707428729,CM254-075-M01,CM254-100-M01,False
12,5,150.0,200.0,19,228,60.82180255822948,0.00815839799418643,-0.7113023841298336,0.3151036044335509,157.64360511645896,26.764511241715372,0.7968302765754722,CM254-075-M01,CM254-100-M01,False
12,5,1000.0,1500.0,15,180,75.01027964300546,0.1200397510536707,-0.3570402087102576,0.30022472381079535,186.02055928601092,26.04999672529988,0.83603102134702,CM254-500-M01,CM254-750-M01,False
12,5,1000.0,1500.0,17,204,58.73875613443195,0.05778048090562183,0.2891647534132664,1.2080347472056305,153.4775122688639,23.12266531263582,0.8161953381180392,CM254-500-M01,CM254-750-M01,False
12,5,1000.0,1500.0,13,156,74.23034160764911,2.4088691383275633e-06,-0.8294305098819368,0.3001137276128434,184.46068321529822,22.33758624398215,0.8563487636013165,CM254-500-M01,CM254-750-M01,False
12,5,1000.0,1500.0,19,228,47.19497165849725,0.0004899240477320102,0.004250641165256641,0.18862372837800567,130.3899433169945,20.76645164598147,0.7968302765754722,CM254-500-M01,CM254-750-M01,True
14,5,200.0,250.0,21,294,65.61219850753366,0.5000000529696598,-0.7092941390828927,-1.4490808001567086,167.22439701506732,34.740590064814405,0.7459127835533744,CM254-100-M01,CM254-125-M01,False
14,5,200.0,250.0,23,322,58.749841579318534,8.752202015519718e-07,-0.9718206135776386,0.27867793214795844,153.49968315863708,34.06835959169323,0.7253067522353203,CM254-100-M01,CM254-125-M01,False
14,5,200.0,250.0,17,238,76.84916494186409,0.5000029700180135,-1.4400879187346691,0.24477994855341256,189.69832988372818,32.93786993870364,0.7888977357196639,CM254-100-M01,CM254-125-M01,False
14,5,200.0,250.0,15,210,69.78022099819117,0.06975485396951668,-0.5588852521934201,0.30008953201435595,175.56044199638234,26.384927459351292,0.8113103927077341,CM254-100-M01,CM254-125-M01,False
14,5,150.0,200.0,21,294,70.82538419410696,0.5000011378927494,-1.1073144942328454,-1.3970857476589449,177.65076838821392,37.49829901437131,0.7459127835533744,CM254-075-M01,CM254-100-M01,False
14,5,150.0,200.0,17,238,66.38333356453182,0.5000383716702596,-0.9342019597348008,0.7562765287519797,168.76666712906365,28.45152407143755,0.7888977357196639,CM254-075-M01,CM254-100-M01,False
14,5,150.0,200.0,23,322,53.762788447576085,0.0019644371065311184,-0.5706011773473435,0.5624156056373182,143.52557689515217,31.175885260779307,0.7253067522353203,CM254-075-M01,CM254-100-M01,False
14,5,500.0,750.0,23,322,63.285642971465194,3.733113007732634e-07,-0.6000316700182503,0.6496445620399833,162.5712859429304,36.702145904256554,0.7253067522353203,CM254-250-M01,CM254-375-M01,False
