sku,N,chord_skip,n_exit,opl_m,envelope_mm,wavelength_nm,grade,feasible_nominal,reason,w_hole_mm,w_max_mm,min_sep_mm,sep_margin_mm,hole_margin_mm,ap_margin_mm,exit_miss_mm,throughput,mc_complete_frac,walk_p95_mm,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
CM254-200-M01,16,7,176,25.72268036663216,185.0149493391566,2121.8,flight,True,,0.36435170996481786,0.38605431031177917,1.7410115834595041,1.0159046461128394,0.8188640870799073,1.0885308397222033,2.4447857548621327e-06,0.839383522402262,1.0,0.3404379848280909,1.2364831601018946,0.0,0.3991588556908672,True,True,True,True,True
CM254-200-M01,16,7,176,25.72268036663216,185.0149493391566,2121.8,research,True,,0.36435170996481786,0.38605431031177917,1.7410115834595041,1.0159046461128394,0.8188640870799073,1.0885308397222033,2.4447857548621327e-06,0.839383522402262,0.95,1.2388286703789486,0.5249098747325912,0.13,-0.46697611177679005,False,False,False,False,False
CM254-150-M01,16,7,144,20.379666512349857,180.2980978626366,2121.8,flight,True,,0.378654004210655,0.434222648042657,1.4113093652750417,0.7524690794854864,1.834205342701329,2.5603292939654168,1.0457223015806052e-05,0.8666920554294749,1.0,0.27585436108424677,1.255298224337017,0.0,1.4638481932399638,True,True,True,True,True
CM254-150-M01,16,7,144,20.379666512349857,180.2980978626366,2121.8,research,True,,0.378654004210655,0.434222648042657,1.4113093652750417,0.7524690794854864,1.834205342701329,2.5603292939654168,1.0457223015806052e-05,0.8666920554294749,1.0,0.9348714803377086,0.7893948902996301,0.02,0.9157262876369296,True,True,False,False,True
CM254-100-M01,16,7,112,15.297950962488704,175.26478304239183,2121.8,flight,True,,0.31670250909704545,0.354428308817305,1.7141673933249415,1.0438394444340509,1.5878939659175528,6.264582111609479,3.924346817472903e-08,0.8948890480709772,1.0,0.332713254029726,1.2608274166726146,0.0,1.2028204698340637,True,True,True,True,True
CM254-100-M01,16,7,112,15.297950962488704,175.26478304239183,2121.8,research,True,,0.31670250909704545,0.354428308817305,1.7141673933249415,1.0438394444340509,1.5878939659175528,6.264582111609479,3.924346817472903e-08,0.8948890480709772,1.0,1.2412742123927374,0.37768944683003597,0.08,0.2204274650150071,False,True,False,False,False
CM254-250-M01,12,5,132,13.638871321104888,142.96966951974022,2121.8,flight,True,,0.32240611795069013,0.3734567226403511,1.7237529659764106,0.993532126562287,0.8814827876353057,2.4425606904335115,1.5553851351884082e-06,0.877160280136262,1.0,0.27726265519147836,1.32233721399732,0.0,0.6167824693050059,True,True,True,True,True
CM254-250-M01,12,5,132,13.638871321104888,142.96966951974022,2121.8,research,True,,0.32240611795069013,0.3734567226403511,1.7237529659764106,0.993532126562287,0.8814827876353057,2.4425606904335115,1.5553851351884082e-06,0.877160280136262,1.0,1.0704524409043132,0.7510209365234645,0.04,0.002833491457833128,False,True,False,False,False
CM254-150-M01,10,3,110,9.194829771807694,139.32198990568668,2121.8,flight,True,,0.3141346342212299,0.33336795897977634,1.3199470531028548,0.7304663687061281,1.5496946851818774,3.323503812465116,0.2788015763590614,0.18554698444696419,1.0,0.3134937205042565,1.012483665687552,0.0,1.2371693786047788,True,True,True,True,True
CM254-150-M01,10,3,110,9.194829771807694,139.32198990568668,2121.8,research,True,,0.3141346342212299,0.33336795897977634,1.3199470531028548,0.7304663687061281,1.5496946851818774,3.323503812465116,0.2788015763590614,0.18554698444696419,1.0,1.1556675022769094,0.2793014202628934,0.27,0.24198799822179065,False,True,False,False,False
