design,opl_m,lam_nm,n_refl,aoi_mean_deg,Ts_over_Tp_perbounce,T_s,T_p,diattenuation,T45,out_azimuth_deg,out_ellipticity_deg,retardance_deg,s_launch_purity
CM254-750-M01 x12 n=204,28.99385350390421,1654.0,204,15.019050133564988,1.0015790351313785,0.012056923754938593,0.008797054614457669,0.15855353571336847,0.010150572552990844,-86.9494476975354,13.076562644405783,154.13250302223003,0.9986409078462125
CM254-200-M01 x16 n=176,24.774440244436025,1654.0,176,11.381470667189117,1.0009110433758386,0.02087715934167609,0.018124193479640994,0.0762860752069228,0.01893718898758877,25.983777960621907,32.555722401745776,73.76152197821561,0.9638880809175723
CM254-500-M01 x12 n=204,20.66237996156646,1654.0,204,15.080571631399145,1.0015924717937852,0.011996970447667253,0.008852779762113652,0.15760733333544008,0.009947614527496994,-98.69754881644207,13.301474555171945,152.365457799325,0.9632072614185268
CM254-150-M01 x16 n=144,20.38015540178735,1654.0,144,11.349415836612758,1.0009037399596752,0.042733207755444036,0.03769076858196134,0.06299097515564234,0.03996930483312373,-3.8736520456237002,30.285306620928445,60.213851293493015,0.9931818112763751
CM254-150-M01 x13 n=143,16.60249771134903,1654.0,143,20.860282174568635,1.0030736782571283,0.05054617752157461,0.03291725463874747,0.21287490588311042,0.04062559198624042,-3.600857928795719,13.974008359654272,28.013780610247096,0.9983572790749792
CM254-150-M01 x10 n=190,14.85313827497906,1654.0,190,36.03768241243713,1.0097094478006114,0.03212731359396869,0.005175925448232848,0.7232687000408456,0.018029866197547654,-64.59537386927624,6.199256069484717,162.86688019227302,0.9986932023879505
CM254-250-M01 x12 n=132,13.638937109426903,1654.0,132,15.042439399153805,1.0015828797364994,0.05818671742927916,0.04757085196526527,0.10281893104521142,0.051702297797037194,-109.82395228863251,39.14266382010507,99.0438132039449,0.988757033594061
CM254-200-M01 x16 n=176,23.826005275797712,2121.8,176,11.317918732196842,1.0008541080524804,0.026710331372838243,0.023242879960960514,0.07321288773941663,0.02439583052742945,17.230848536558284,28.357524484808124,60.78367194727149,0.9648971453285262
CM254-200-M01 x16 n=176,25.72268036663216,1654.0,176,11.353697928094421,1.0009086686604063,0.020991997120025023,0.018011859553201285,0.07714915408490858,0.019294798279573477,5.433261759981143,37.00320256210986,74.35001235516796,0.996466630418374
CM254-100-M01 x16 n=112,15.297950962488704,1654.0,112,11.279567843731977,1.0008850026016443,0.08700232486265927,0.07886575969109198,0.04908384677215704,0.08279381531265242,-6.179674369869112,23.606090661966782,47.09695319393089,0.9926257485751733
CM254-150-M01 x10 n=110,9.194829771807694,1654.0,110,36.00552581108858,1.0096147002067422,0.13877778491953435,0.048615607023785215,0.48201859728638846,0.09097241408348618,-74.89321288210806,14.538657979291358,147.40656755307646,0.9997665309401779
CM127-050-M01 x14 n=98,9.111922026576464,1654.0,98,25.704678668652324,1.0046968121253754,0.14128133492005468,0.08952418623529536,0.2251927867640609,0.11778322431786635,-77.7222824633271,-19.110413134825038,220.69404841094877,0.9979377483401616
