design,material,dT_K,feasible,exit_miss_mm,throughput,reason
drone_20m,aluminium,-30.0,False,0.3822347915811123,0.012905335451518752,exit miss > 0.35 mm
drone_20m,aluminium,-28.0,False,0.35678778874199124,0.01710584380964084,exit miss > 0.35 mm
drone_20m,aluminium,-26.0,True,0.3313337779901828,0.022239195643776126,
drone_20m,aluminium,-24.0,True,0.3058731977491336,0.028358600343462527,
drone_20m,aluminium,-22.0,True,0.28040648691703945,0.03546777994829483,
drone_20m,aluminium,-20.0,True,0.2549340848565081,0.043507051027976834,
drone_20m,aluminium,-18.0,True,0.22945643138625835,0.05234259263461654,
drone_20m,aluminium,-16.0,True,0.20397396677256024,0.06176107530681527,
drone_20m,aluminium,-14.0,True,0.17848713171765118,0.07147154642186884,
drone_20m,aluminium,-12.0,True,0.15299636735289895,0.08111580465650155,
drone_20m,aluminium,-10.0,True,0.12750211522703153,0.09028749376828993,
drone_20m,aluminium,-8.0,True,0.10200481729912972,0.09855892542226316,
drone_20m,aluminium,-6.0,True,0.07650491592675097,0.10551339118540108,
drone_20m,aluminium,-4.0,True,0.051002853860680895,0.11077966937131274,
drone_20m,aluminium,-2.0,True,0.02549907423386389,0.11406478826962084,
drone_20m,aluminium,0.0,True,6.080078857887019e-06,0.11518103080718298,
drone_20m,aluminium,2.0,True,0.025511863434094992,0.11406371638958489,
drone_20m,aluminium,4.0,True,0.051018133330327856,0.11077741434784807,
drone_20m,aluminium,6.0,True,0.0765243446731895,0.10550975777710789,
drone_20m,aluminium,8.0,True,0.10203005256842824,0.09855368311944956,
drone_20m,aluminium,10.0,True,0.12753481180480233,0.09028043658013615,
drone_20m,aluminium,12.0,True,0.1530381768581297,0.08110680954714676,
drone_20m,aluminium,14.0,True,0.17853970190117535,0.07146061866023284,
drone_20m,aluminium,16.0,True,0.20403894081208043,0.06174837218274463,
drone_20m,aluminium,18.0,True,0.2295354471878322,0.052328421769119456,
drone_20m,aluminium,20.0,True,0.2550287743485146,0.04349184469985084,
drone_20m,aluminium,22.0,True,0.28051847535163604,0.03545205126140119,
drone_20m,aluminium,24.0,True,0.30600410300108133,0.028342889839817483,
drone_20m,aluminium,26.0,True,0.33148520985489965,0.022224017708582577,
drone_20m,aluminium,28.0,False,0.35696134823789566,0.017091641061595855,exit miss > 0.35 mm
drone_20m,aluminium,30.0,False,0.3824320702502261,0.012892446794490921,exit miss > 0.35 mm
drone_20m,invar,-30.0,True,0.01944712633161448,0.11453044862624782,
drone_20m,invar,-28.0,True,0.018150271588890186,0.11461411892704162,
drone_20m,invar,-26.0,True,0.016853413883189054,0.11469207211640628,
drone_20m,invar,-24.0,True,0.015556553272591535,0.11476429642320635,
drone_20m,invar,-22.0,True,0.014259689815997166,0.1148307809356538,
drone_20m,invar,-20.0,True,0.0129628235711039,0.11489151560416708,
drone_20m,invar,-18.0,True,0.011665954596741714,0.11494649124378527,
drone_20m,invar,-16.0,True,0.010369082952284331,0.1149956995365321,
drone_20m,invar,-14.0,True,0.00907220869596094,0.11503913303358067,
drone_20m,invar,-12.0,True,0.00777533188756781,0.1150767851570369,
drone_20m,invar,-10.0,True,0.006478452587311868,0.11510865020166246,
drone_20m,invar,-8.0,True,0.005181570856019514,0.11513472333632267,
drone_20m,invar,-6.0,True,0.0038846867601836084,0.115155000605155,
drone_20m,invar,-4.0,True,0.0025878003821665435,0.11516947892860627,
drone_20m,invar,-2.0,True,0.0012909118974655065,0.11517815610422363,
drone_20m,invar,0.0,True,6.080078857887019e-06,0.11518103080718298,
drone_20m,invar,2.0,True,0.0013028730333962684,0.11517810259065572,
drone_20m,invar,4.0,True,0.0025997679604125024,0.1151693718859064,
drone_20m,invar,6.0,True,0.0038966650719988497,0.11515484000218931,
drone_20m,invar,8.0,True,0.005193564193936076,0.11513450912642442,
drone_20m,invar,10.0,True,0.006490465243726707,0.1151083823226667,
