design,material,dT_K,feasible,exit_miss_mm,throughput,reason
mini_9m,aluminium,-30.0,True,0.32477121101217976,0.039956703697572725,
mini_9m,aluminium,-28.0,True,0.3031512932400552,0.05973059451307876,
mini_9m,aluminium,-26.0,True,0.28152510626798166,0.08685928748890553,
mini_9m,aluminium,-24.0,True,0.2598930564428278,0.12286725017236368,
mini_9m,aluminium,-22.0,True,0.2382555504631519,0.16906183451955764,
mini_9m,aluminium,-20.0,True,0.2166129953791412,0.22627396766637833,
mini_9m,aluminium,-18.0,True,0.19496579858025384,0.294573789141172,
mini_9m,aluminium,-16.0,True,0.17331436780139364,0.37300609399524404,
mini_9m,aluminium,-14.0,True,0.15165911110991717,0.4594019132472934,
mini_9m,aluminium,-12.0,True,0.1300004368919906,0.5503238761852436,
mini_9m,aluminium,-10.0,True,0.1083387538558945,0.6411905906187465,
mini_9m,aluminium,-8.0,True,0.08667447103221936,0.7265986900962564,
mini_9m,aluminium,-6.0,True,0.0650079977591987,0.8008240959048515,
mini_9m,aluminium,-4.0,True,0.04333974365860498,0.8584440274553191,
mini_9m,aluminium,-2.0,True,0.021670118670774192,0.8949882949665079,
mini_9m,aluminium,0.0,True,4.7635267834082703e-07,0.9075119505433725,
mini_9m,aluminium,2.0,True,0.021671602789332414,0.8949875499239065,
mini_9m,aluminium,4.0,True,0.043342877973809806,0.8584444806319813,
mini_9m,aluminium,6.0,True,0.06501388146741534,0.8008291226739146,
mini_9m,aluminium,8.0,True,0.08668420195260707,0.7266122170237836,
mini_9m,aluminium,10.0,True,0.10835342784374095,0.6412160834799455,
mini_9m,aluminium,12.0,True,0.13002114731078926,0.5503634589300743,
mini_9m,aluminium,14.0,True,0.15168694827881213,0.4594558282127277,
mini_9m,aluminium,16.0,True,0.1733504184174327,0.37307260672932335,
mini_9m,aluminium,18.0,True,0.1950111451743733,0.29464951702713643,
mini_9m,aluminium,20.0,True,0.21666871577896846,0.2263545092877935,
mini_9m,aluminium,22.0,True,0.23832271722346374,0.16914252174805836,
mini_9m,aluminium,24.0,True,0.25997273629875384,0.12294384510097399,
mini_9m,aluminium,26.0,True,0.2816183595858841,0.08692849219497244,
mini_9m,aluminium,28.0,True,0.30325917346694287,0.05979031053506255,
mini_9m,aluminium,30.0,True,0.3248947641327799,0.04000604686113004,
mini_9m,invar,-30.0,True,0.016528017419719068,0.900205508693651,
mini_9m,invar,-28.0,True,0.015426132069268248,0.9011439423522725,
mini_9m,invar,-26.0,True,0.014324244540849799,0.9020185338655717,
mini_9m,invar,-24.0,True,0.013222354888332595,0.9028290954801762,
mini_9m,invar,-22.0,True,0.01212046316874912,0.9035754530870221,
mini_9m,invar,-20.0,True,0.01101856943027365,0.9042574462917521,
mini_9m,invar,-18.0,True,0.009916673729157945,0.904874928460632,
mini_9m,invar,-16.0,True,0.00881477611946038,0.9054277667803577,
mini_9m,invar,-14.0,True,0.007712876655721154,0.9059158423039594,
mini_9m,invar,-12.0,True,0.006610975391808821,0.9063390499940442,
mini_9m,invar,-10.0,True,0.0055090723813040286,0.906697298760194,
mini_9m,invar,-8.0,True,0.004407167678868701,0.9069905114912604,
mini_9m,invar,-6.0,True,0.0033052613380256733,0.9072186250837678,
mini_9m,invar,-4.0,True,0.002203353412932927,0.9073815904640194,
mini_9m,invar,-2.0,True,0.001101443958821027,0.9074793726058724,
mini_9m,invar,0.0,True,4.7635267834082703e-07,0.9075119505433725,
mini_9m,invar,2.0,True,0.0011023793369442632,0.9074793173781764,
mini_9m,invar,4.0,True,0.0022042930582837376,0.9073814802820446,
mini_9m,invar,6.0,True,0.003306208095938672,0.9072184604940624,
mini_9m,invar,8.0,True,0.004408124393785449,0.9069902933133333,
mini_9m,invar,10.0,True,0.005510041898932526,0.9066970280855083,
mini_9m,invar,12.0,True,0.006611960556006755,0.906338728186058,
mini_9m,invar,14.0,True,0.00771388031212092,0.9059154709961023,
mini_9m,invar,16.0,True,0.00881580111269953,0.9054273478757735,
mini_9m,invar,18.0,True,0.009917722903654948,0.9048744641306614,
mini_9m,invar,20.0,True,0.011019645631593236,0.9042569389736527,
mini_9m,invar,22.0,True,0.012121569241595666,0.9035749054832865,
mini_9m,invar,24.0,True,0.013223493682736374,0.9028285105524629,
mini_9m,invar,26.0,True,0.01432541889348,0.9020179148456718,
mini_9m,invar,28.0,True,0.015427344827104821,0.9011432927234727,
mini_9m,invar,30.0,True,0.016529271429703184,0.9002048321950042,
