design,material,dT_K,feasible,exit_miss_mm,throughput,reason
trigas_26m,aluminium,-30.0,False,0.5800984777029564,0.0,never returns to hole
trigas_26m,aluminium,-28.0,False,0.5414966101396896,0.0,never returns to hole
trigas_26m,aluminium,-26.0,False,0.5028820707309956,0.0,never returns to hole
trigas_26m,aluminium,-24.0,False,0.4642554286442406,0.013018444509627804,exit miss > 0.35 mm
trigas_26m,aluminium,-22.0,False,0.4256172531715633,0.02530627050582213,exit miss > 0.35 mm
trigas_26m,aluminium,-20.0,False,0.38696811372431017,0.04644024060891962,exit miss > 0.35 mm
trigas_26m,aluminium,-18.0,True,0.3483085798245061,0.08045156721189978,
trigas_26m,aluminium,-16.0,True,0.30963922109560055,0.13156071630106309,
trigas_26m,aluminium,-14.0,True,0.2709606072590969,0.20307152931664085,
trigas_26m,aluminium,-12.0,True,0.23227330812344765,0.29585835029116014,
trigas_26m,aluminium,-10.0,True,0.19357789357859612,0.40683000371715167,
trigas_26m,aluminium,-8.0,True,0.15487493358815546,0.5279834599819688,
trigas_26m,aluminium,-6.0,True,0.11616499818246606,0.6466826179960161,
trigas_26m,aluminium,-4.0,True,0.07744865745219366,0.7475020576010933,
trigas_26m,aluminium,-2.0,True,0.03872648155281614,0.8154028401175374,
trigas_26m,aluminium,0.0,True,2.4447857548621327e-06,0.8393835223955773,
trigas_26m,aluminium,2.0,True,0.0387330952488383,0.8153954864468466,
trigas_26m,aluminium,4.0,True,0.07746935548898509,0.7474610122995273,
trigas_26m,aluminium,6.0,True,0.11620917002391253,0.6465697484958195,
trigas_26m,aluminium,8.0,True,0.15495196855409918,0.527769771930936,
trigas_26m,aluminium,10.0,True,0.19369718078669432,0.40651176736846123,
trigas_26m,aluminium,12.0,True,0.23244423643249118,0.295460804545835,
trigas_26m,aluminium,14.0,True,0.27119256520960083,0.20263988291379564,
trigas_26m,aluminium,16.0,True,0.3099415968537897,0.13114444662115685,
trigas_26m,aluminium,18.0,True,0.348690761123208,0.08008993303473214,
trigas_26m,aluminium,20.0,False,0.38743948780610865,0.046154452470145636,exit miss > 0.35 mm
trigas_26m,aluminium,22.0,False,0.42618720672977506,0.025099380743977946,exit miss > 0.35 mm
trigas_26m,aluminium,24.0,False,0.4649333477655558,0.012880529201219298,exit miss > 0.35 mm
trigas_26m,aluminium,26.0,False,0.5036773408393533,0.0,never returns to hole
trigas_26m,aluminium,28.0,False,0.5424186159362415,0.0,never returns to hole
trigas_26m,aluminium,30.0,False,0.5811566031086421,0.0,never returns to hole
trigas_26m,invar,-30.0,True,0.029537374472513048,0.8253485940271477,
trigas_26m,invar,-28.0,True,0.02756824226278145,0.8271442690945506,
trigas_26m,invar,-26.0,True,0.025599096866210355,0.8288196268121443,
trigas_26m,invar,-24.0,True,0.02362993835786276,0.8303739185710207,
trigas_26m,invar,-22.0,True,0.021660766813469692,0.8318064487891329,
trigas_26m,invar,-20.0,True,0.019691582308141258,0.8331165754312149,
trigas_26m,invar,-18.0,True,0.017722384917642067,0.8343037104875249,
trigas_26m,invar,-16.0,True,0.01575317471736613,0.8353673204145008,
trigas_26m,invar,-14.0,True,0.013783951784897837,0.8363069265332379,
trigas_26m,invar,-12.0,True,0.011814716197026039,0.8371221053904436,
trigas_26m,invar,-10.0,True,0.009845468033235728,0.8378124890752029,
trigas_26m,invar,-8.0,True,0.007876207377466362,0.8383777654961896,
trigas_26m,invar,-6.0,True,0.005906934326778999,0.8388176786166126,
trigas_26m,invar,-4.0,True,0.0039376490199103205,0.8391320286480765,
trigas_26m,invar,-2.0,True,0.001968351853561408,0.8393206722013304,
trigas_26m,invar,0.0,True,2.4447857548621327e-06,0.8393835223955773,
trigas_26m,invar,2.0,True,0.001970282897248037,0.8393205489248831,
trigas_26m,invar,4.0,True,0.0039396164790355135,0.8391317780827399,
trigas_26m,invar,6.0,True,0.005908962477013759,0.8388172927435393,
trigas_26m,invar,8.0,True,0.007878320495497639,0.8383772323021353,
trigas_26m,invar,10.0,True,0.009847690394648804,0.837811792571056,
trigas_26m,invar,12.0,True,0.011817072078950731,0.8371212256346182,
trigas_26m,invar,14.0,True,0.013786465464174422,0.8363058396621865,
trigas_26m,invar,16.0,True,0.015755870470166803,0.8353659986789811,
trigas_26m,invar,18.0,True,0.01772528701930584,0.8343021222947206,
trigas_26m,invar,20.0,True,0.019694715036039243,0.8331146853907739,
trigas_26m,invar,22.0,True,0.021664154443728947,0.8318042177683039,
trigas_26m,invar,24.0,True,0.02363360516743083,0.8303713037523922,
trigas_26m,invar,26.0,True,0.025603067130536405,0.8288165817598759,
trigas_26m,invar,28.0,True,0.02757254025887144,0.8271407438220199,
trigas_26m,invar,30.0,True,0.029542024476494216,0.8253445350741602,
