Pass_Number,Beam_Waist,Divergence,Power_Remaining
1,0.0064368,1.26356,0.99858476
2,0.0064129,1.26356,0.99719493
3,0.0063891,1.26356,0.99582933
4,0.0063652,1.26356,0.99448681
5,0.0063413,1.26356,0.99316629
6,0.0063174,1.26356,0.99186671
7,0.0062936,1.26356,0.99058707
8,0.0062697,1.26356,0.98932639
9,0.0062458,1.26356,0.98808374
10,0.006222,1.26356,0.98685823
11,0.0061981,1.26356,0.985649
12,0.0061742,1.26356,0.98445524
13,0.0061504,1.26356,0.98327616
14,0.0061265,1.26356,0.982111
15,0.0061027,1.26356,0.98095905
16,0.0060788,1.26356,0.97981962
17,0.006055,1.26356,0.97869205
18,0.0060311,1.26356,0.97757571
19,0.0060073,1.26356,0.97647001
20,0.0059834,1.26356,0.97537438
21,0.0059596,1.26356,0.97428827
22,0.0059358,1.26356,0.97321116
23,0.0059119,1.26356,0.97214257
24,0.0058881,1.26356,0.97108202
25,0.0058643,1.26356,0.97002907
26,0.0058405,1.26356,0.9689833
27,0.0058167,1.26356,0.96794431
28,0.0057928,1.26356,0.96691171
29,0.005769,1.26356,0.96588515
30,0.0057452,1.26356,0.96486429
31,0.0057214,1.26356,0.96384881
32,0.0056976,1.26356,0.9628384
33,0.0056738,1.26356,0.96183278
34,0.00565,1.26356,0.96083167
35,0.0056262,1.26356,0.95983483
36,0.0056024,1.26356,0.95884201
37,0.0055786,1.26356,0.95785299
38,0.0055548,1.26356,0.95686755
39,0.0055311,1.26356,0.9558855
40,0.0055073,1.26356,0.95490666
41,0.0054835,1.26356,0.95393084
42,0.0054597,1.26356,0.95295788
43,0.005436,1.26356,0.95198764
44,0.0054122,1.26356,0.95101997
45,0.0053885,1.26356,0.95005473
46,0.0053647,1.26356,0.94909181
47,0.005341,1.26356,0.94813108
48,0.0053172,1.26356,0.94717245
49,0.0052935,1.26356,0.9462158
50,0.0052697,1.26356,0.94526106
51,0.005246,1.26356,0.94430814
52,0.0052223,1.26356,0.94335695
53,0.0051985,1.26356,0.94240742
54,0.0051748,1.26356,0.94145949
55,0.0051511,1.26356,0.94051309
56,0.0051274,1.26356,0.93956817
57,0.0051037,1.26356,0.93862468
58,0.0050799,1.26356,0.93768256
59,0.0050562,1.26356,0.93674177
60,0.0050325,1.26356,0.93580228
61,0.0050089,1.26356,0.93486404
