Pass_Number,Mirror_Loss,Clipping_Loss,Coupling_Loss,Total_Loss,Remaining_Power
1,0.001,0.00041565,0.00941922,0.01082112,0.98917888
2,0.001,0.00039219,0.0,0.0013918,0.98780214
3,0.001,0.00036982,0.0,0.00136945,0.9864494
4,0.001,0.00034849,0.0,0.00134814,0.98511953
5,0.001,0.00032817,0.0,0.00132784,0.98381144
6,0.001,0.00030883,0.0,0.00130852,0.98252411
7,0.001,0.00029043,0.0,0.00129014,0.98125651
8,0.001,0.00027293,0.0,0.00127266,0.98000771
9,0.001,0.00025631,0.0,0.00125606,0.97877676
10,0.001,0.00024053,0.0,0.00124029,0.9775628
11,0.001,0.00022555,0.0,0.00122533,0.97636496
12,0.001,0.00021135,0.0,0.00121114,0.97518245
13,0.001,0.0001979,0.0,0.0011977,0.97401447
14,0.001,0.00018516,0.0,0.00118497,0.97286029
15,0.001,0.00017311,0.0,0.00117293,0.97171919
16,0.001,0.00016171,0.0,0.00116155,0.97059049
17,0.001,0.00015094,0.0,0.00115079,0.96947354
18,0.001,0.00014078,0.0,0.00114064,0.96836772
19,0.001,0.00013119,0.0,0.00113106,0.96727243
20,0.001,0.00012216,0.0,0.00112203,0.96618712
21,0.001,0.00011365,0.0,0.00111353,0.96511124
22,0.001,0.00010564,0.0,0.00110553,0.96404428
23,0.001,9.811e-05,0.0,0.00109801,0.96298575
24,0.001,9.103e-05,0.0,0.00109094,0.96193519
25,0.001,8.439e-05,0.0,0.00108431,0.96089216
26,0.001,7.816e-05,0.0,0.00107808,0.95985624
27,0.001,7.232e-05,0.0,0.00107225,0.95882703
28,0.001,6.686e-05,0.0,0.00106679,0.95780416
29,0.001,6.175e-05,0.0,0.00106169,0.95678727
30,0.001,5.697e-05,0.0,0.00105692,0.95577603
31,0.001,5.251e-05,0.0,0.00105246,0.95477011
32,0.001,4.835e-05,0.0,0.00104831,0.95376922
33,0.001,4.448e-05,0.0,0.00104443,0.95277307
34,0.001,4.087e-05,0.0,0.00104083,0.95178139
35,0.001,3.752e-05,0.0,0.00103748,0.95079394
36,0.001,3.44e-05,0.0,0.00103437,0.94981047
37,0.001,3.151e-05,0.0,0.00103148,0.94883077
38,0.001,2.883e-05,0.0,0.0010288,0.94785461
39,0.001,2.634e-05,0.0,0.00102632,0.94688181
40,0.001,2.405e-05,0.0,0.00102402,0.94591219
41,0.001,2.192e-05,0.0,0.0010219,0.94494556
42,0.001,1.996e-05,0.0,0.00101994,0.94398177
43,0.001,1.816e-05,0.0,0.00101814,0.94302066
44,0.001,1.649e-05,0.0,0.00101648,0.9420621
45,0.001,1.496e-05,0.0,0.00101495,0.94110596
46,0.001,1.356e-05,0.0,0.00101355,0.94015211
47,0.001,1.227e-05,0.0,0.00101226,0.93920043
48,0.001,1.109e-05,0.0,0.00101108,0.93825083
49,0.001,1.001e-05,0.0,0.00101,0.93730319
50,0.001,9.02e-06,0.0,0.00100901,0.93635745
51,0.001,8.12e-06,0.0,0.00100811,0.9354135
52,0.001,7.3e-06,0.0,0.00100729,0.93447126
53,0.001,6.55e-06,0.0,0.00100654,0.93353068
54,0.001,5.87e-06,0.0,0.00100586,0.93259168
55,0.001,5.25e-06,0.0,0.00100524,0.9316542
56,0.001,4.69e-06,0.0,0.00100469,0.93071818
57,0.001,4.18e-06,0.0,0.00100418,0.92978357
58,0.001,3.73e-06,0.0,0.00100372,0.92885033
59,0.001,3.31e-06,0.0,0.00100331,0.9279184
60,0.001,2.94e-06,0.0,0.00100294,0.92698776
61,0.001,2.61e-06,0.0,0.0010026,0.92605836
62,0.001,2.31e-06,0.0,0.0010023,0.92513016
63,0.001,2.04e-06,0.0,0.00100203,0.92420315
64,0.001,1.8e-06,0.0,0.00100179,0.92327729
65,0.001,1.58e-06,0.0,0.00100158,0.92235256
66,0.001,1.39e-06,0.0,0.00100139,0.92142893
67,0.001,1.22e-06,0.0,0.00100122,0.92050638
68,0.001,1.06e-06,0.0,0.00100106,0.91958489
69,0.001,9.3e-07,0.0,0.00100093,0.91866445
70,0.001,8.1e-07,0.0,0.00100081,0.91774504
71,0.001,7.1e-07,0.0,0.0010007,0.91682665
72,0.001,6.1e-07,0.0,0.00100061,0.91590926
73,0.001,5.3e-07,0.0,0.00100053,0.91499287
74,0.001,4.6e-07,0.0,0.00100046,0.91407746
75,0.001,4e-07,0.0,0.0010004,0.91316302
76,0.001,3.4e-07,0.0,0.00100034,0.91224954
77,0.001,2.9e-07,0.0,0.00100029,0.91133703
78,0.001,2.5e-07,0.0,0.00100025,0.91042546
79,0.001,2.1e-07,0.0,0.00100021,0.90951484
80,0.001,1.8e-07,0.0,0.00100018,0.90860516
81,0.001,1.6e-07,0.0,0.00100016,0.90769642
82,0.001,1.3e-07,0.0,0.00100013,0.9067886
83,0.001,1.1e-07,0.0,0.00100011,0.90588171
84,0.001,9e-08,0.0,0.00100009,0.90497574
85,0.001,8e-08,0.0,0.00100008,0.9040707
86,0.001,7e-08,0.0,0.00100007,0.90316656
87,0.001,6e-08,0.0,0.00100006,0.90226335
88,0.001,5e-08,0.0,0.00100005,0.90136104
89,0.001,4e-08,0.0,0.00100004,0.90045965
90,0.001,3e-08,0.0,0.00100003,0.89955916
91,0.001,3e-08,0.0,0.00100003,0.89865958
92,0.001,2e-08,0.0,0.00100002,0.8977609
93,0.001,2e-08,0.0,0.00100002,0.89686312
94,0.001,1e-08,0.0,0.00100001,0.89596624
95,0.001,1e-08,0.0,0.00100001,0.89507027
96,0.001,1e-08,0.0,0.00100001,0.89417519
97,0.001,1e-08,0.0,0.00100001,0.893281
98,0.001,1e-08,0.0,0.00100001,0.89238772
99,0.001,1e-08,0.0,0.00100001,0.89149532
100,0.001,0.0,0.0,0.001,0.89060383
101,0.001,0.0,0.0,0.001,0.88971322
102,0.001,0.0,0.0,0.001,0.8888235
103,0.001,0.0,0.0,0.001,0.88793468
104,0.001,0.0,0.0,0.001,0.88704674
105,0.001,0.0,0.0,0.001,0.88615969
106,0.001,0.0,0.0,0.001,0.88527353
107,0.001,0.0,0.0,0.001,0.88438826
108,0.001,0.0,0.0,0.001,0.88350387
109,0.001,0.0,0.0,0.001,0.88262037
110,0.001,0.0,0.0,0.001,0.88173775
111,0.001,0.0,0.0,0.001,0.88085601
112,0.001,0.0,0.0,0.001,0.87997515
113,0.001,0.0,0.0,0.001,0.87909518
114,0.001,0.0,0.0,0.001,0.87821608
115,0.001,0.0,0.0,0.001,0.87733786
116,0.001,0.0,0.0,0.001,0.87646053
117,0.001,0.0,0.0,0.001,0.87558407
118,0.001,0.0,0.0,0.001,0.87470848
119,0.001,0.0,0.0,0.001,0.87383377
120,0.001,0.0,0.0,0.001,0.87295994
121,0.001,0.0,0.0,0.001,0.87208698
122,0.001,0.0,0.0,0.001,0.87121489
123,0.001,0.0,0.0,0.001,0.87034368
124,0.001,0.0,0.0,0.001,0.86947333
125,0.001,0.0,0.0,0.001,0.86860386
126,0.001,0.0,0.0,0.001,0.86773526
127,0.001,0.0,0.0,0.001,0.86686752
128,0.001,0.0,0.0,0.001,0.86600065
129,0.001,0.0,0.0,0.001,0.86513465
130,0.001,0.0,0.0,0.001,0.86426952
131,0.001,0.0,0.0,0.001,0.86340525
132,0.001,0.0,0.0,0.001,0.86254184
133,0.001,0.0,0.0,0.001,0.8616793
134,0.001,0.0,0.0,0.001,0.86081762
135,0.001,0.0,0.0,0.001,0.8599568
136,0.001,0.0,0.0,0.001,0.85909685
137,0.001,0.0,0.0,0.001,0.85823775
138,0.001,0.0,0.0,0.001,0.85737951
139,0.001,0.0,0.0,0.001,0.85652213
140,0.001,0.0,0.0,0.001,0.85566561
141,0.001,0.0,0.0,0.001,0.85480995
142,0.001,0.0,0.0,0.001,0.85395514
143,0.001,0.0,0.0,0.001,0.85310118
144,0.001,0.0,0.0,0.001,0.85224808
145,0.001,0.0,0.0,0.001,0.85139583
146,0.001,0.0,0.0,0.001,0.85054444
147,0.001,0.0,0.0,0.001,0.84969389
148,0.001,0.0,0.0,0.001,0.8488442
149,0.001,0.0,0.0,0.001,0.84799535
150,0.001,0.0,0.0,0.001,0.84714736
151,0.001,0.0,0.0,0.001,0.84630021
152,0.001,0.0,0.0,0.001,0.84545391
153,0.001,0.0,0.0,0.001,0.84460846
154,0.001,0.0,0.0,0.001,0.84376385
155,0.001,0.0,0.0,0.001,0.84292008
156,0.001,0.0,0.0,0.001,0.84207716
157,0.001,0.0,0.0,0.001,0.84123509
158,0.001,0.0,0.0,0.001,0.84039385
159,0.001,0.0,0.0,0.001,0.83955346
160,0.001,0.0,0.0,0.001,0.8387139
161,0.001,0.0,0.0,0.001,0.83787519
162,0.001,0.0,0.0,0.001,0.83703732
163,0.001,0.0,0.0,0.001,0.83620028
164,0.001,0.0,0.0,0.001,0.83536408
165,0.001,0.0,0.0,0.001,0.83452871
166,0.001,0.0,0.0,0.001,0.83369419
167,0.001,0.0,0.0,0.001,0.83286049
168,0.001,0.0,0.0,0.001,0.83202763
169,0.001,0.0,0.0,0.001,0.8311956
170,0.001,0.0,0.0,0.001,0.83036441
171,0.001,0.0,0.0,0.001,0.82953404
172,0.001,0.0,0.0,0.001,0.82870451
173,0.001,0.0,0.0,0.001,0.8278758
174,0.001,0.0,0.0,0.001,0.82704793
175,0.001,0.0,0.0,0.001,0.82622088
176,0.001,0.0,0.0,0.001,0.82539466
177,0.001,0.0,0.0,0.001,0.82456927
178,0.001,0.0,0.0,0.001,0.8237447
179,0.001,0.0,0.0,0.001,0.82292095
180,0.001,0.0,0.0,0.001,0.82209803
181,0.001,0.0,0.0,0.001,0.82127593
182,0.001,0.0,0.0,0.001,0.82045466
183,0.001,0.0,0.0,0.001,0.8196342
184,0.001,0.0,0.0,0.001,0.81881457
185,0.001,0.0,0.0,0.001,0.81799575
186,0.001,0.0,0.0,0.001,0.81717776
187,0.001,0.0,0.0,0.001,0.81636058
188,0.001,0.0,0.0,0.001,0.81554422
189,0.001,0.0,0.0,0.001,0.81472867
190,0.001,0.0,0.0,0.001,0.81391395
191,0.001,0.0,0.0,0.001,0.81310003
192,0.001,0.0,0.0,0.001,0.81228693
193,0.001,0.0,0.0,0.001,0.81147465
194,0.001,0.0,0.0,0.001,0.81066317
195,0.001,0.0,0.0,0.001,0.80985251
196,0.001,0.0,0.0,0.001,0.80904265
197,0.001,0.0,0.0,0.001,0.80823361
198,0.001,0.0,0.0,0.001,0.80742538
