Configuration_ID,Mirror_Spacing,Tilt_Angle,Rotation_Angle,Number_of_Passes,Optical_Path_Length,Efficiency
v1_reference,38.2683,0.22685,45.0,528,20.2058,0.581358
0,32.5476,0.20269,45.0,792,25.7778,0.0
1,65.3136,0.28015,45.0,352,22.9906,3e-06
2,74.7667,0.08306,45.0,1048,78.3555,0.0
3,67.2089,0.10926,45.0,592,39.7877,0.0
4,51.132,0.0767,45.0,1088,55.6317,0.0
5,42.5258,0.07617,45.0,984,41.8454,0.0
6,34.1806,0.14224,45.0,1296,44.2982,0.0
7,73.6875,0.08987,45.0,736,54.2341,0.0
8,60.2494,0.12899,45.0,480,28.9198,0.0
9,49.3797,0.27243,45.0,368,18.1719,0.000178
10,56.2585,0.09869,45.0,720,40.5062,0.0
11,59.1588,0.11722,45.0,712,42.1212,0.0
12,50.7874,0.08881,45.0,840,42.6614,0.0
13,75.9868,0.05401,45.0,624,47.4158,0.0
14,53.3411,0.06271,45.0,1256,66.9964,0.0
15,56.228,0.03541,45.0,1520,85.4666,0.0
16,38.0486,0.17132,45.0,824,31.3522,0.0
17,55.3376,0.08279,45.0,992,54.895,0.0
18,72.1647,0.02891,45.0,1512,109.1131,0.0
19,58.2999,0.05587,45.0,1472,85.8175,0.0
20,66.5846,0.04301,45.0,1016,67.65,0.0
21,26.5888,0.13786,45.0,1384,36.7991,0.0
22,58.0957,0.06034,45.0,1096,63.673,0.0
23,24.7139,0.11771,45.0,920,22.7369,0.0
24,58.2979,0.17629,45.0,616,35.9117,0.0
25,29.2749,0.13714,45.0,1328,38.8772,0.0
26,74.3122,0.06081,45.0,1216,90.3637,0.0
27,57.7941,0.07099,45.0,1360,78.6,0.0
28,55.3422,0.32464,45.0,232,12.8396,0.521626
29,34.5614,0.12716,45.0,640,22.1194,0.0
30,71.9536,0.05388,45.0,968,69.6511,0.0
31,29.8003,0.27554,45.0,720,21.4565,0.0
32,52.6571,0.18228,45.0,448,23.5905,0.0
33,25.2696,2.07568,45.0,128,3.2366,0.028607
34,34.097,0.11893,45.0,944,32.1876,0.020166
35,26.92,0.68577,45.0,336,9.0458,5e-06
36,61.4195,0.0661,45.0,1376,84.5132,0.0
37,56.6231,0.50158,45.0,200,11.325,0.000908
38,31.6118,0.1941,45.0,784,24.7838,0.0
39,49.6775,0.36832,45.0,352,17.4869,8e-06
40,64.449,0.20902,45.0,392,25.2642,0.008049
41,64.2272,0.10319,45.0,400,25.6909,0.062059
42,33.9747,0.29551,45.0,480,16.3081,0.0
43,38.0565,0.06272,45.0,1480,56.3237,0.0
44,45.8681,0.09468,45.0,1048,48.0698,0.0
45,39.612,0.07974,45.0,1560,61.7947,0.0
46,23.7792,0.09736,45.0,1392,33.1007,0.0
47,42.7199,0.07673,45.0,1112,47.5046,0.0
48,64.5812,0.06447,45.0,1592,102.8133,0.0
49,24.2963,0.93816,45.0,200,4.8599,0.000375
50,76.1077,0.16082,45.0,248,18.8748,0.007386
51,62.6017,0.04183,45.0,1496,93.6522,0.0
52,75.8316,0.08085,45.0,752,57.0255,0.0
53,33.7046,1.32695,45.0,104,3.5062,0.083045
54,25.4355,0.16193,45.0,1600,40.697,0.0
55,54.6467,0.17257,45.0,248,13.5524,0.000529
56,63.4615,0.18924,45.0,256,16.2462,0.187788
57,70.0898,0.05153,45.0,1576,110.4615,0.0
58,45.3116,0.05896,45.0,1464,66.3362,0.0
59,49.5893,0.20804,45.0,272,13.4884,0.014761
overlap_tolerant__SciPy/Powell,76.5367,0.20416,45.0,440,33.6764,0.522489
overlap_tolerant__GA,76.5367,0.14262,45.0,528,40.4115,0.574391
overlap_tolerant__PSO,76.5367,0.1676,45.0,536,41.0238,0.566099
overlap_strict__SciPy/Powell,76.5367,0.93566,45.0,96,7.3485,0.907474
overlap_strict__GA,76.5367,1.12276,45.0,80,6.1241,0.922156
overlap_strict__PSO,76.5367,1.12276,45.0,80,6.1241,0.922156
