N,R_mm,H_mm,ROC_mm,M_halfLaps,w0_mm,R_ring,n_reflections,chord_mm,AOI_deg,alpha_deg,OPL_m,transmission,w_max_mm,min_spot_sep_mm,mirror_fill_frac,spots_overlap,V_internal_mL,stab_tangential,stab_sagittal,stable,utility_OPL_x_T
4,30.0,40.0,inf,132,1.0,0.99,528,42.426406871192846,45.0,0.20461647470487745,22.401285677389073,0.0046062897262876485,7.146667037773113,0.15151515151514902,1.0,1,229.12137877454936,,,1,0.10318681207139194
4,50.0,40.0,inf,132,1.0,0.99,528,70.71067811865476,45.0,0.12277021885449894,37.33532375646423,1.9458425519766887e-06,11.836201650190462,0.15151515151514902,1.0,1,494.02047132524086,,,1,7.264866165715424e-05
4,75.0,40.0,inf,132,1.0,0.99,528,106.06601717798212,45.0,0.08184688216002424,56.00291420988681,1.7495852488109258e-25,17.719042245231474,0.15151515151514902,1.0,1,966.5160064251456,,,1,9.798187259204175e-24
4,100.0,40.0,inf,132,1.0,0.99,528,141.4213562373095,45.0,0.061385179887524954,74.6705189482428,3.3019266654215093e-56,23.608912768409247,0.15151515151514902,1.0,1,1596.0911742045405,,,1,2.4655657763606497e-54
6,30.0,40.0,inf,88,1.0,0.99,528,29.999999999999996,60.00000000000001,0.28937016344059907,15.840202018913772,0.004908873748912683,5.102719293930364,0.15151515151514902,1.0,1,229.12137877454936,,,1,0.0777575518681195
6,50.0,40.0,inf,88,1.0,0.99,528,49.99999999999999,60.00000000000001,0.17362304283848734,26.400121211843064,0.0030586729075394643,8.399294855536318,0.15151515151514902,1.0,1,494.02047132524086,,,1,0.08074933550642231
6,75.0,40.0,inf,88,1.0,0.99,528,74.99999999999999,60.00000000000001,0.11574889205613192,39.60008080799823,7.789587803554163e-08,12.549205088865326,0.15151515151514902,1.0,1,966.5160064251456,,,1,3.084683064817423e-06
6,100.0,40.0,inf,88,1.0,0.99,528,99.99999999999999,60.00000000000001,0.08681172071031179,52.800060606025454,3.9075596708803665e-21,16.70900057967062,0.15151515151514902,1.0,1,1596.0911742045405,,,1,2.0631938744414422e-19
8,30.0,40.0,inf,66,1.0,0.99,528,22.961005941905388,67.5,0.37807806567221947,12.123675086566882,0.004909281503492532,3.9581606218959564,0.15151515151514902,1.0,1,229.12137877454936,,,1,0.05951853385683602
8,50.0,40.0,inf,66,1.0,0.99,528,38.26834323650898,67.5,0.2268489466366836,20.20584359952433,0.004845274246624693,6.460698874598088,0.15151515151514902,1.0,1,494.02047132524086,,,1,0.09790285362410162
